1,1,1,S821A,G,S821A_S801A,Nil,Nil,Nil,Nil,805A,S821A_S801A,805A_R,Nil,Nil,Nil,Nil,Nil,809A_R,S804A_S806B,805A_L,809A,S821A,No,Nil
2,,,,,,,,,,807A,,807A_R,,,,,,,S804A_VS822A,807A_L,,,,
3,,,,,,,,,,809A,,,,,,,,,S804A_VS802A,809A_L,,,,
4,,,,,,,,,,,,,,,,,,,S808A_S806B,805A_R,,,,
5,,,,,,,,,,,,,,,,,,,S808A_VS822A,807A_R,,,,
6,,,,,,,,,,,,,,,,,,,S808A_VS802A,809A_R,,,,
7,2,1,S801A,G,S801A_S803A,801A,Nil,801A,801A,809A,S801A_S803A,809A_R,801A,815A_R,Nil,803A,Nil,Nil,S802A_S808A,809A_L,Nil,S801A,No,Nil
8,,,,,,802A,,802A,802A,811A,,811A_R,,,,806A,,,S806A_S808A,811A_L,,,,
9,,,,,,,,803A,803A,813A,,813A_R,,,,805A,,,S808A_S806B,813A_L,,,,
10,,,,,,,,806A,806A,815A,,,,,,804A,,,S808A_VS822A,815A_L,,,,
11,,,,,,,,805A,805A,,,,805A,815A_R,Nil,805A,803A,,S808A_VS802A,809A_R,,,,
12,,,,,,,,804A,804A,,,,,814A_R,,804A,806A,,,811A_R,,,,
13,,,,,,,,,,,,,,,,,,,,813A_R,,,,
14,,,,,,,,,,,,,,,,,,,,815A_R,,,,
15,,3,,G,S801A_S807A,Nil,801A,801A,801A,809A,S801A_S807A,809A_R,803A,814A_R,Nil,803A,Nil,Nil,S802A_S804A,809A_L,Nil,S801A,No,Nil
16,,,,,,,802A,802A,802A,811A,,811A_R,,,,806A,,,S804A_S806B,811A_L,,,,
17,,,,,,,,803A,803A,810A,,810A_R,,,,805A,,,S804A_VS822A,810A_L,,,,
18,,,,,,,,806A,806A,812A,,812A_R,,,,804A,,,S804A_VS802A,812A_L,,,,
19,,,,,,,,805A,805A,814A,,,807A,814A_R,Nil,803A,805A,,S806A_S804A,814A_L,,,,
20,,,,,,,,804A,804A,,,,,815A_R,,806A,804A,,,809A_R,,,,
21,,,,,,,,,,,,,,,,,,,,811A_R,,,,
22,,,,,,,,,,,,,,,,,,,,810A_R,,,,
23,,,,,,,,,,,,,,,,,,,,812A_R,,,,
24,,,,,,,,,,,,,,,,,,,,814A_R,,,,
25,3,1,S803A,G,S803A_S809A,803A,Nil,803A,803A,815A,S803A_S809A,815A_R,Nil,Nil,Nil,Nil,Nil,Nil,S806A_S808A,815A_L,Nil,S803A,No,Nil
26,,,,,,806A,,806A,806A,817A,,817A_R,,,,,,,,815A_R,,,,
27,,,,,,805A,,805A,805A,,,,,,,,,,,817A_R,,,,
28,,,,,,804A,,804A,804A,,,,,,,,,,,,,,,
29,,3,,G,S803A_S811A,805A,803A,803A,803A,815A,S803A_S811A,815A_R,Nil,Nil,Nil,Nil,Nil,Nil,S802A_S808A,815A_L,Nil,S803A,No,Nil
30,,,,,,804A,806A,806A,806A,814A,,814A_R,,,,,,,,814A_L,,,,
31,,,,,,,,805A,805A,816A,,816A_R,,,,,,,,815A_R,,,,
